 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.09E+00  3.217E+03
   1  -3.  1.99E+01  5.183E+02  1.484  0.000  0.300  0.000  0.000 -1.000   0.000
   2  -4.  2.70E+01  2.581E+02  2.226  0.000  0.450  0.000  0.000 -1.000   0.000
   3  -5.  5.18E+01  1.458E+02  1.973  0.000  0.675  0.000  0.000 -1.000   0.000
   4  -5.  5.97E+01  6.585E+01  1.341  0.000  1.012  0.000  0.000 -1.000   0.000
   5  -6.  8.81E+01  4.513E+01  1.114  0.000  1.441  0.000  0.000 -1.000   0.000
   6  -6.  9.05E+01  4.401E+01  1.223  0.000  1.364  0.000  0.000 -1.000   0.000
   7  -6.  8.96E+01  4.394E+01  1.166  0.000  1.381  0.000  0.000 -1.000   0.000
   8  -7.  8.97E+01  4.394E+01  1.184  0.000  1.367  0.000  0.000 -1.000   0.000
   9  -7.  8.96E+01  4.393E+01  1.176  0.000  1.369  0.000  0.000 -1.000   0.000
  10  -7.  8.96E+01  4.393E+01  1.179  0.000  1.367  0.000  0.000 -1.000   0.000
  11  -5.  8.96E+01  4.393E+01  1.178  0.000  1.368  0.000  0.000 -1.000   0.000
  12  -6.  8.96E+01  4.393E+01  1.178  0.000  1.368  0.000  0.000 -1.000   0.000
  13  -2.  8.96E+01  4.393E+01  1.178  0.000  1.368  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.96E+01  2.921E+02
   1  -3.  7.75E+01  2.572E+02  1.074  0.000  1.819  0.000  0.000 -1.000   0.000
   2  -4.  8.47E+01  2.347E+02  1.156  0.000  1.683  0.000  0.000 -1.000   0.000
   3  -1.  8.59E+01  2.308E+02  1.180  0.000  1.707  0.000  0.000 -1.000   0.000
   4  -2.  8.67E+01  2.223E+02  1.298  0.000  1.638  0.000  0.000 -1.000   0.000
   5  -3.  8.68E+01  2.221E+02  1.251  0.000  1.696  0.000  0.000 -1.000   0.000
   6  -1.  9.84E+01  2.077E+02  1.304  0.000  1.686  0.000  0.000 -1.000   0.000
   7  -2.  1.01E+02  2.047E+02  1.339  0.000  1.653  0.000  0.000 -1.000   0.000
   8   0.  1.01E+02  2.033E+02  1.344  0.000  1.663  0.000  0.000 -1.000   0.000
   9  -1.  1.04E+02  1.994E+02  1.392  0.000  1.701  0.000  0.000 -1.000   0.000
  10  -2.  1.05E+02  1.968E+02  1.429  0.000  1.577  0.000  0.000 -1.000   0.000
  11   0.  1.05E+02  1.942E+02  1.429  0.000  1.589  0.000  0.000 -1.000   0.000
  12   0.  1.05E+02  1.933E+02  1.436  0.000  1.607  0.000  0.000 -1.000   0.000
  13   0.  1.05E+02  1.927E+02  1.438  0.000  1.610  0.000  0.000 -1.000   0.000
  14   0.  1.06E+02  1.927E+02  1.444  0.000  1.622  0.000  0.000 -1.000   0.000
  15   0.  1.06E+02  1.914E+02  1.449  0.000  1.629  0.000  0.000 -1.000   0.000
  16   0.  1.06E+02  1.913E+02  1.450  0.000  1.623  0.000  0.000 -1.000   0.000
  17   0.  1.06E+02  1.915E+02  1.455  0.000  1.631  0.000  0.000 -1.000   0.000
  18   0.  1.06E+02  1.904E+02  1.461  0.000  1.635  0.000  0.000 -1.000   0.000
  19   0.  1.06E+02  1.902E+02  1.461  0.000  1.627  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.06E+02  3.553E+02
  20   0.  1.06E+02  1.896E+02  1.466  0.000  1.634  0.000  0.000 -1.000   0.000
   1  -1.  1.02E+02  3.461E+02  1.492  0.000  1.621  0.000  0.000 -1.000   0.000
   2   0.  1.01E+02  3.418E+02  1.506  0.000  1.634  0.000  0.000 -1.000   0.000
   3  -1.  9.81E+01  3.320E+02  1.556  0.000  1.577  0.000  0.000 -1.000   0.000
   4   0.  9.69E+01  3.261E+02  1.569  0.000  1.587  0.000  0.000 -1.000   0.000
   5   0.  9.48E+01  3.260E+02  1.579  0.000  1.587  0.000  0.000 -1.000   0.000
   6  -1.  9.67E+01  3.008E+02  1.676  0.000  1.509  0.000  0.000 -1.000   0.000
   7  -2.  9.58E+01  2.847E+02  1.624  0.000  1.372  0.000  0.000 -1.000   0.000
   8  -1.  9.18E+01  2.625E+02  1.650  0.000  1.354  0.000  0.000 -1.000   0.000
   9  -1.  9.59E+01  1.468E+02  1.605  0.000  1.302  0.000  0.000 -1.000   0.000
  10  -2.  9.68E+01  9.731E+01  1.641  0.000  1.434  0.000  0.000 -1.000   0.000
  11  -3.  1.09E+02  8.758E+01  1.620  0.000  1.314  0.000  0.000 -1.000   0.000
  12  -1.  1.14E+02  7.589E+01  1.580  0.000  1.258  0.000  0.000 -1.000   0.000
  13  -2.  1.24E+02  7.001E+01  1.541  0.000  1.203  0.000  0.000 -1.000   0.000
