 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
  14   0.  1.20E+02  6.940E+01  1.540  0.000  1.199  0.000  0.000 -1.000   0.000
  15  -1.  1.17E+02  6.787E+01  1.547  0.000  1.174  0.000  0.000 -1.000   0.000
  16  -1.  1.16E+02  6.665E+01  1.553  0.000  1.159  0.000  0.000 -1.000   0.000
  17  -1.  1.17E+02  6.534E+01  1.551  0.000  1.146  0.000  0.000 -1.000   0.000
  18  -1.  1.15E+02  6.455E+01  1.557  0.000  1.129  0.000  0.000 -1.000   0.000
  19  -1.  1.13E+02  6.403E+01  1.563  0.000  1.122  0.000  0.000 -1.000   0.000
  20  -1.  1.12E+02  6.270E+01  1.565  0.000  1.102  0.000  0.000 -1.000   0.000
  21  -2.  1.15E+02  6.146E+01  1.566  0.000  1.130  0.000  0.000 -1.000   0.000
  22  -2.  1.14E+02  5.958E+01  1.570  0.000  1.070  0.000  0.000 -1.000   0.000
  23  -3.  1.20E+02  5.730E+01  1.573  0.000  1.152  0.000  0.000 -1.000   0.000
  24  -4.  1.11E+02  5.784E+01  1.568  0.000  1.134  0.000  0.000 -1.000   0.000
  25   0.  1.12E+02  5.703E+01  1.567  0.000  1.131  0.000  0.000 -1.000   0.000
  26  -1.  1.13E+02  5.663E+01  1.569  0.000  1.117  0.000  0.000 -1.000   0.000
