 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   2   0.  2.17E+02  1.197E+02  0.674  0.000  0.001  0.000  0.000 -1.000   0.000
   3  -1.  2.19E+02  1.148E+02  0.674  0.000  0.002  0.000  0.000 -1.000   0.000
   4   0.  2.20E+02  1.123E+02  0.670  0.000  0.002  0.000  0.000 -1.000   0.000
   5  -1.  2.18E+02  1.102E+02  0.656  0.000  0.001  0.000  0.000 -1.000   0.000
   6   0.  2.19E+02  1.099E+02  0.653  0.000  0.001  0.000  0.000 -1.000   0.000
   7   0.  2.19E+02  1.098E+02  0.651  0.000  0.001  0.000  0.000 -1.000   0.000
   8   0.  2.19E+02  1.097E+02  0.650  0.000  0.001  0.000  0.000 -1.000   0.000
   9   0.  2.19E+02  1.096E+02  0.649  0.000  0.001  0.000  0.000 -1.000   0.000
  10   0.  2.19E+02  1.095E+02  0.648  0.000  0.001  0.000  0.000 -1.000   0.000
  11   0.  2.19E+02  1.095E+02  0.648  0.000  0.001  0.000  0.000 -1.000   0.000
  12   0.  2.19E+02  1.094E+02  0.647  0.000  0.001  0.000  0.000 -1.000   0.000
  13   0.  2.19E+02  1.093E+02  0.647  0.000  0.001  0.000  0.000 -1.000   0.000
  14   0.  2.19E+02  1.093E+02  0.646  0.000  0.001  0.000  0.000 -1.000   0.000
  15   0.  2.19E+02  1.093E+02  0.646  0.000  0.001  0.000  0.000 -1.000   0.000
  16   0.  2.19E+02  1.092E+02  0.645  0.000  0.001  0.000  0.000 -1.000   0.000
  17   0.  2.19E+02  1.092E+02  0.645  0.000  0.001  0.000  0.000 -1.000   0.000
  18   0.  2.19E+02  1.091E+02  0.645  0.000  0.001  0.000  0.000 -1.000   0.000
