 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.47E+00  6.291E+04
   1  -3.  1.89E+01  2.359E+04  1.500  0.000  0.300  0.000  0.000 -1.000   0.000
   2  -4.  2.31E+01  2.003E+04  2.250  0.000  0.150  0.000  0.000 -1.000   0.000
   3  -3.  2.32E+01  1.783E+04  3.375  0.000  0.075  0.000  0.000 -1.000   0.000
   4  -2.  3.10E+01  1.589E+04  3.864  0.000  0.112  0.000  0.000 -1.000   0.000
   5  -3.  3.02E+01  1.491E+04  3.341  0.000  0.169  0.000  0.000 -1.000   0.000
   6  -4.  3.40E+01  1.137E+04  3.375  0.000  0.084  0.000  0.000 -1.000   0.000
   7  -1.  4.33E+01  3.953E+03  1.687  0.000  0.042  0.000  0.000 -1.000   0.000
   8  -2.  7.73E+01  8.007E+02  1.403  0.000  0.021  0.000  0.000 -1.000   0.000
   9  -3.  9.99E+01  5.812E+02  0.960  0.000  0.011  0.000  0.000 -1.000   0.000
  10  -4.  1.91E+02  2.435E+02  0.851  0.000  0.005  0.000  0.000 -1.000   0.000
  11  -5.  1.91E+02  2.434E+02  0.847  0.000  0.008  0.000  0.000 -1.000   0.000
  12  -5.  1.92E+02  2.434E+02  0.846  0.000  0.004  0.000  0.000 -1.000   0.000
  13  -4.  1.91E+02  2.434E+02  0.847  0.000  0.003  0.000  0.000 -1.000   0.000
  14  -3.  1.91E+02  2.434E+02  0.847  0.000  0.002  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.91E+02  2.462E+02
  15  -1.  1.91E+02  2.434E+02  0.847  0.000  0.002  0.000  0.000 -1.000   0.000
   1  -3.  2.00E+02  1.498E+02  0.749  0.000  0.002  0.000  0.000 -1.000   0.000
   2  -4.  2.01E+02  1.488E+02  0.731  0.000  0.001  0.000  0.000 -1.000   0.000
   3  -5.  2.01E+02  1.488E+02  0.730  0.000  0.001  0.000  0.000 -1.000   0.000
   4  -5.  2.01E+02  1.488E+02  0.730  0.000  0.001  0.000  0.000 -1.000   0.000
   5  -2.  2.01E+02  1.488E+02  0.729  0.000  0.001  0.000  0.000 -1.000   0.000
   6  -3.  2.01E+02  1.488E+02  0.729  0.000  0.002  0.000  0.000 -1.000   0.000
   7  -4.  2.01E+02  1.488E+02  0.730  0.000  0.003  0.000  0.000 -1.000   0.000
   8  -5.  2.01E+02  1.488E+02  0.730  0.000  0.005  0.000  0.000 -1.000   0.000
   9  -5.  2.01E+02  1.488E+02  0.729  0.000  0.007  0.000  0.000 -1.000   0.000
  10  -3.  2.00E+02  1.487E+02  0.726  0.000  0.010  0.000  0.000 -1.000   0.000
  11  -2.  2.01E+02  1.484E+02  0.728  0.000  0.015  0.000  0.000 -1.000   0.000
  12  -1.  2.01E+02  1.482E+02  0.727  0.000  0.008  0.000  0.000 -1.000   0.000
  13  -2.  2.01E+02  1.481E+02  0.726  0.000  0.012  0.000  0.000 -1.000   0.000
  14  -1.  2.01E+02  1.478E+02  0.725  0.000  0.017  0.000  0.000 -1.000   0.000
  15  -1.  2.01E+02  1.474E+02  0.724  0.000  0.026  0.000  0.000 -1.000   0.000
  16  -1.  2.02E+02  1.471E+02  0.725  0.000  0.013  0.000  0.000 -1.000   0.000
  17  -1.  2.02E+02  1.468E+02  0.723  0.000  0.019  0.000  0.000 -1.000   0.000
  18  -1.  2.02E+02  1.466E+02  0.721  0.000  0.029  0.000  0.000 -1.000   0.000
  19  -1.  2.03E+02  1.464E+02  0.722  0.000  0.015  0.000  0.000 -1.000   0.000
  20  -1.  2.03E+02  1.461E+02  0.719  0.000  0.007  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.04E+02  1.471E+02
  21  -2.  2.04E+02  1.461E+02  0.719  0.000  0.004  0.000  0.000 -1.000   0.000
   1  -3.  2.11E+02  1.231E+02  0.692  0.000  0.002  0.000  0.000 -1.000   0.000
   2  -4.  2.13E+02  1.228E+02  0.690  0.000  0.001  0.000  0.000 -1.000   0.000
   3  -5.  2.13E+02  1.228E+02  0.689  0.000  0.001  0.000  0.000 -1.000   0.000
   4  -3.  2.13E+02  1.228E+02  0.689  0.000  0.001  0.000  0.000 -1.000   0.000
   5  -4.  2.13E+02  1.228E+02  0.689  0.000  0.001  0.000  0.000 -1.000   0.000
   6  -2.  2.12E+02  1.222E+02  0.685  0.000  0.001  0.000  0.000 -1.000   0.000
   7  -3.  2.13E+02  1.222E+02  0.686  0.000  0.001  0.000  0.000 -1.000   0.000
   8  -2.  2.13E+02  1.217E+02  0.682  0.000  0.001  0.000  0.000 -1.000   0.000
   9  -3.  2.14E+02  1.217E+02  0.683  0.000  0.001  0.000  0.000 -1.000   0.000
  10  -2.  2.14E+02  1.211E+02  0.679  0.000  0.002  0.000  0.000 -1.000   0.000
  11  -3.  2.15E+02  1.211E+02  0.680  0.000  0.002  0.000  0.000 -1.000   0.000
  12  -3.  2.15E+02  1.211E+02  0.680  0.000  0.003  0.000  0.000 -1.000   0.000
  13  -3.  2.15E+02  1.211E+02  0.680  0.000  0.003  0.000  0.000 -1.000   0.000
  14  -2.  2.15E+02  1.207E+02  0.676  0.000  0.003  0.000  0.000 -1.000   0.000
  15  -2.  2.15E+02  1.202E+02  0.674  0.000  0.003  0.000  0.000 -1.000   0.000
  16  -3.  2.16E+02  1.202E+02  0.675  0.000  0.005  0.000  0.000 -1.000   0.000
  17  -2.  2.16E+02  1.198E+02  0.671  0.000  0.005  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.17E+02  1.244E+02
  18  -3.  2.17E+02  1.198E+02  0.673  0.000  0.005  0.000  0.000 -1.000   0.000
   1   0.  2.17E+02  1.214E+02  0.674  0.000  0.003  0.000  0.000 -1.000   0.000
