 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.94E+01  1.010E+04
   1  -3.  8.85E+01  8.211E+02  0.050  0.000  0.375  0.000  0.000 -1.000  26.382
   2  -4.  9.77E+01  7.352E+02  0.050  0.000  0.187  0.000  0.000 -1.000  29.569
   3  -1.  9.83E+01  7.294E+02  0.050  0.000  0.094  0.000  0.000 -1.000  29.263
   4  -1.  9.88E+01  7.248E+02  0.050  0.000  0.047  0.000  0.000 -1.000  28.999
   5   0.  1.01E+02  7.067E+02  0.050  0.000  0.023  0.000  0.000 -1.000  29.036
   6   0.  1.02E+02  7.033E+02  0.050  0.000  0.012  0.000  0.000 -1.000  28.641
   7   0.  1.02E+02  7.017E+02  0.050  0.000  0.018  0.000  0.000 -1.000  28.202
   8   0.  1.02E+02  7.007E+02  0.050  0.000  0.009  0.000  0.000 -1.000  27.813
   9   0.  1.02E+02  7.001E+02  0.050  0.000  0.004  0.000  0.000 -1.000  27.490
  10   0.  1.02E+02  6.996E+02  0.050  0.000  0.006  0.000  0.000 -1.000  27.226
  11   0.  1.02E+02  6.993E+02  0.050  0.000  0.007  0.000  0.000 -1.000  27.010
  12   0.  1.02E+02  6.991E+02  0.050  0.000  0.011  0.000  0.000 -1.000  26.838
  13  -1.  1.02E+02  6.982E+02  0.050  0.000  0.005  0.000  0.000 -1.000  26.223
  14  -1.  1.02E+02  6.979E+02  0.050  0.000  0.008  0.000  0.000 -1.000  25.906
  15   0.  1.02E+02  6.978E+02  0.050  0.000  0.012  0.000  0.000 -1.000  25.886
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.02E+02  7.104E+02
  16   0.  1.02E+02  6.978E+02  0.050  0.000  0.006  0.000  0.000 -1.000  25.865
   1  -3.  1.05E+02  6.854E+02  0.050  0.000  0.009  0.000  0.000 -1.000  26.540
   2  -4.  1.08E+02  6.697E+02  0.050  0.000  0.013  0.000  0.000 -1.000  27.439
   3  -1.  1.08E+02  6.695E+02  0.050  0.000  0.020  0.000  0.000 -1.000  27.241
   4  -2.  1.08E+02  6.690E+02  0.050  0.000  0.021  0.000  0.000 -1.000  27.492
   5  -1.  1.08E+02  6.689E+02  0.050  0.000  0.032  0.000  0.000 -1.000  27.483
   6   0.  1.08E+02  6.688E+02  0.050  0.000  0.016  0.000  0.000 -1.000  27.472
   7  -1.  1.08E+02  6.688E+02  0.050  0.000  0.008  0.000  0.000 -1.000  27.435
   8  -2.  1.08E+02  6.688E+02  0.050  0.000  0.012  0.000  0.000 -1.000  27.408
   9  -3.  1.08E+02  6.687E+02  0.050  0.000  0.018  0.000  0.000 -1.000  27.401
  10   0.  1.08E+02  6.687E+02  0.050  0.000  0.021  0.000  0.000 -1.000  27.390
  11  -1.  1.08E+02  6.687E+02  0.050  0.000  0.011  0.000  0.000 -1.000  27.377
  12   0.  1.08E+02  6.687E+02  0.050  0.000  0.007  0.000  0.000 -1.000  27.376
  13  -1.  1.08E+02  6.687E+02  0.050  0.000  0.004  0.000  0.000 -1.000  27.368
  14   1.  1.08E+02  6.687E+02  0.050  0.000  0.004  0.000  0.000 -1.000  27.368
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.08E+02  6.939E+02
   1  -3.  1.08E+02  6.926E+02  0.050  0.000  0.002  0.000  0.000 -1.000  26.660
   2  -4.  1.08E+02  6.924E+02  0.050  0.000  0.002  0.000  0.000 -1.000  25.806
   3  -5.  1.08E+02  6.924E+02  0.050  0.000  0.002  0.000  0.000 -1.000  25.508
   4  -5.  1.08E+02  6.923E+02  0.050  0.000  0.001  0.000  0.000 -1.000  25.197
   5  -6.  1.08E+02  6.923E+02  0.050  0.000  0.002  0.000  0.000 -1.000  25.033
   6  -6.  1.08E+02  6.923E+02  0.050  0.000  0.005  0.000  0.000 -1.000  24.856
   7   2.  1.08E+02  6.923E+02  0.050  0.000  0.005  0.000  0.000 -1.000  24.856
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.08E+02  6.989E+02
   1  -3.  1.08E+02  6.988E+02  0.050  0.000  0.012  0.000  0.000 -1.000  24.280
   2  -1.  1.08E+02  6.988E+02  0.050  0.000  0.006  0.000  0.000 -1.000  24.211
   3  -2.  1.08E+02  6.987E+02  0.050  0.000  0.003  0.000  0.000 -1.000  23.985
